iter	Passed	Remaining
0	157	157804
1	161	80788
2	165	55081
3	169	42113
4	172	34329
5	176	29186
6	179	25460
7	183	22733
8	186	20543
9	189	18778
10	193	17377
11	196	16185
12	200	15214
13	203	14364
14	207	13607
15	210	12954
16	214	12377
17	217	11873
18	221	11433
19	225	11044
20	229	10689
21	233	10394
22	237	10076
23	240	9788
24	244	9552
25	248	9307
26	252	9089
27	255	8882
28	259	8705
29	263	8516
30	266	8341
31	271	8200
32	275	8058
33	278	7909
34	281	7769
35	285	7632
36	288	7510
37	292	7417
38	296	7303
39	300	7213
40	304	7120
41	307	7021
42	311	6926
43	315	6850
44	318	6762
45	322	6683
46	325	6606
47	329	6528
48	333	6464
49	336	6395
50	339	6323
51	343	6267
52	347	6210
53	351	6153
54	354	6096
55	358	6044
56	361	5988
57	365	5937
58	369	5892
59	373	5857
60	377	5814
61	381	5769
62	385	5727
63	388	5686
64	392	5651
65	396	5609
66	400	5575
67	402	5516
68	405	5476
69	409	5441
70	413	5406
71	416	5370
72	420	5339
73	424	5308
74	427	5275
75	431	5244
76	434	5206
77	437	5175
78	441	5143
79	444	5115
80	448	5086
81	451	5052
82	455	5031
83	459	5006
84	461	4964
85	465	4945
86	467	4907
87	470	4880
88	474	4857
89	478	4835
90	481	4811
91	484	4786
92	488	4766
93	492	4744
94	495	4715
95	498	4692
96	501	4670
97	504	4646
98	508	4625
99	511	4601
100	514	4582
101	516	4549
102	520	4531
103	524	4515
104	527	4499
105	531	4483
106	535	4468
107	538	4450
108	542	4434
109	546	4419
110	549	4403
111	553	4387
112	556	4371
113	560	4358
114	564	4341
115	566	4319
116	570	4305
117	574	4292
118	576	4271
119	580	4258
120	583	4240
121	587	4226
122	589	4205
123	593	4191
124	596	4176
125	599	4160
126	603	4147
127	605	4124
128	608	4111
129	612	4096
130	615	4084
131	619	4074
132	622	4060
133	626	4047
134	629	4035
135	633	4023
136	636	4011
137	639	3992
138	641	3975
139	644	3958
140	646	3941
141	648	3920
142	650	3898
143	652	3878
144	654	3857
145	655	3835
146	657	3814
147	658	3792
148	660	3770
149	664	3762
150	665	3741
151	666	3720
152	668	3698
153	669	3678
154	671	3658
155	672	3637
156	673	3616
157	674	3596
158	676	3578
159	677	3557
160	678	3537
161	680	3518
162	681	3501
163	682	3481
164	684	3461
165	685	3443
166	686	3426
167	688	3408
168	689	3390
169	691	3376
170	692	3359
171	694	3341
172	695	3323
173	696	3307
174	698	3291
175	699	3274
176	700	3257
177	701	3240
178	702	3224
